Date,Close,High,Low,Open,Volume,Log_Return,Volatility,SMA_20,SMA_50,RSI
2024-12-27,431.6600036621094,450.0,426.5,449.5199890136719,82666800,,,,,
2024-12-30,417.4100036621094,427.0,415.75,419.3999938964844,64941000,-0.03356928885086787,,,,
2024-12-31,403.8399963378906,427.92999267578125,402.5400085449219,423.7900085449219,76825100,-0.03305021011916344,,,,
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700,-0.06274403546918701,,,,
2025-01-03,410.44000244140625,411.8800048828125,379.45001220703125,381.4800109863281,95423300,0.07895504556688626,,,,
2025-01-06,411.04998779296875,426.42999267578125,401.70001220703125,423.20001220703125,85516500,0.0014850709586745647,,,,
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500,-0.04145067133894483,,,,
2025-01-08,394.94000244140625,402.5,387.3999938964844,392.95001220703125,73038800,0.0014697002488738569,,,,
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300,-0.0005065652243020289,,,,
2025-01-13,403.30999755859375,403.7900085449219,380.07000732421875,383.2099914550781,67580500,0.021478195369560783,,,,
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000,-0.017382638722844804,,,,
2025-01-15,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500,0.07731423282838396,,,,
2025-01-16,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200,-0.03420597069137618,,,,
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400,0.03018125256143425,,,,48.53475628493302
2025-01-21,424.07000732421875,433.20001220703125,406.30999755859375,432.6400146484375,87320900,-0.005713813715474868,,,,47.87407018511417
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300,-0.021355043154943146,,,,49.33609932920196
2025-01-23,412.3800048828125,420.7300109863281,408.95001220703125,416.05999755859375,50690600,-0.006598243859181292,,,,52.6296362492668
2025-01-24,406.5799865722656,418.8800048828125,405.7799987792969,414.45001220703125,56427100,-0.014164587635274254,,,,59.50423935359366
2025-01-27,397.1499938964844,406.69000244140625,389.0,394.79998779296875,58125500,-0.023466650856007368,,,,44.548361793278225
2025-01-28,398.0899963378906,400.5899963378906,386.5,396.9100036621094,48910700,0.0023640734639690623,,407.9654968261719,,44.69809161610994
2025-01-29,389.1000061035156,398.5899963378906,384.4800109863281,395.2099914550781,68033600,-0.02284170549807513,,405.8374969482422,,47.70346797534398
2025-01-30,400.2799987792969,412.5,384.4100036621094,410.7799987792969,98092900,0.028327903495885404,0.5643461658219066,404.9809967041016,,52.133949506004114
